epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,38377.9,0.82752,0.73377,1.23651,0.79937,0.82227,0.8436,0.65919,0.79633,0.56961,1.20773,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,39238,0.82264,0.7295,1.23307,0.80349,0.81384,0.84551,0.65787,0.79338,0.56761,1.2023,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,40105.6,0.82032,0.71713,1.22822,0.80118,0.79732,0.83643,0.65312,0.79314,0.56172,1.20306,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,40958.7,0.81374,0.71269,1.22251,0.82111,0.79306,0.83945,0.65665,0.79164,0.55603,1.20221,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,41812.1,0.80784,0.70138,1.22083,0.83633,0.79157,0.85204,0.66545,0.78877,0.54826,1.20017,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,42664.6,0.80563,0.70005,1.22081,0.82665,0.81124,0.8524,0.66853,0.7874,0.54538,1.19678,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,43520.7,0.79884,0.69058,1.21408,0.81562,0.82378,0.85317,0.6672,0.78562,0.54091,1.19456,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,44376.3,0.7942,0.6802,1.21285,0.81048,0.82718,0.85296,0.66788,0.78662,0.54012,1.19614,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,45229.7,0.78973,0.67429,1.20731,0.81867,0.82907,0.8564,0.67363,0.78432,0.53639,1.19366,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,46082.5,0.78976,0.67,1.20634,0.83138,0.82161,0.85571,0.67151,0.7798,0.53526,1.18871,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,46936.1,0.78715,0.66936,1.20598,0.8437,0.80098,0.85911,0.67523,0.77609,0.5336,1.18528,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,47788.9,0.77772,0.65682,1.19906,0.82844,0.8041,0.86053,0.67576,0.77392,0.53421,1.18258,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,48640,0.78146,0.65803,1.20111,0.82945,0.79938,0.85529,0.67314,0.7734,0.5328,1.18212,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,49492.6,0.77141,0.64335,1.19549,0.84699,0.798,0.85704,0.67624,0.77287,0.53172,1.1814,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,50345.3,0.76764,0.64292,1.19365,0.8283,0.80441,0.85748,0.67693,0.77135,0.53036,1.18044,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,51197.2,0.76136,0.6369,1.18753,0.838,0.80672,0.85977,0.67867,0.77076,0.52882,1.18021,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,52048.4,0.75768,0.63117,1.18751,0.8249,0.83483,0.86636,0.67818,0.76971,0.52771,1.1792,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,52902.4,0.75564,0.6244,1.18463,0.83117,0.83588,0.87133,0.68094,0.76852,0.52656,1.17726,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,53756.4,0.75205,0.6228,1.18279,0.83824,0.83445,0.87103,0.68174,0.76746,0.52573,1.17638,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,54609.2,0.75539,0.62054,1.18374,0.82771,0.8287,0.86838,0.67876,0.76634,0.52357,1.1756,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,55461.7,0.73987,0.60672,1.17468,0.83836,0.82832,0.8729,0.67911,0.7645,0.52141,1.17428,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,56315.1,0.73981,0.60358,1.1714,0.85785,0.81676,0.8739,0.67977,0.76338,0.51903,1.1736,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,57168.3,0.73037,0.59477,1.16647,0.85794,0.82449,0.87788,0.68226,0.76285,0.51791,1.17355,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,58021.9,0.73058,0.59456,1.16704,0.83879,0.83762,0.87805,0.68396,0.76227,0.51661,1.17304,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,58875.3,0.72922,0.58942,1.16531,0.8611,0.81928,0.87706,0.68468,0.76208,0.51573,1.17287,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,59729.3,0.72183,0.58468,1.16311,0.87549,0.80879,0.87265,0.68388,0.76131,0.51508,1.17221,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,60583.6,0.71796,0.57956,1.15961,0.87368,0.80227,0.87195,0.68248,0.76069,0.51408,1.17169,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,61436.8,0.71764,0.57432,1.15815,0.84904,0.8186,0.87236,0.68255,0.76001,0.51332,1.17144,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,62289.6,0.71825,0.57506,1.15834,0.87765,0.80316,0.87255,0.68208,0.75966,0.51245,1.17145,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,63142.3,0.71242,0.56772,1.15436,0.88278,0.80323,0.87166,0.68197,0.7594,0.51165,1.1715,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,63996.1,0.70545,0.56589,1.15292,0.87683,0.80659,0.87172,0.68247,0.75924,0.51085,1.17158,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,64854.8,0.7019,0.55699,1.14804,0.87468,0.80746,0.87072,0.68182,0.75858,0.50975,1.17138,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,65709.8,0.70398,0.55969,1.14903,0.86345,0.81177,0.87265,0.68252,0.75804,0.50944,1.17097,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,66560.9,0.69941,0.55113,1.14624,0.8584,0.81462,0.8745,0.68362,0.75756,0.50858,1.17039,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,67414.4,0.69172,0.54198,1.14001,0.86012,0.81557,0.87447,0.68595,0.75707,0.50779,1.17026,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1231.26,0.68747,0.52874,1.14098,0.87197,0.80783,0.87445,0.68711,0.75684,0.50721,1.17015,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2804.41,0.692,0.53683,1.14092,0.87203,0.80864,0.8753,0.68668,0.7569,0.50663,1.17046,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4281.98,0.6981,0.54136,1.14373,0.87156,0.8101,0.87566,0.68662,0.75668,0.50598,1.17025,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5872.79,0.68231,0.53024,1.13697,0.86323,0.81679,0.87425,0.68837,0.75645,0.50554,1.17021,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7594.04,0.68533,0.53791,1.13918,0.87018,0.80997,0.87467,0.68876,0.75616,0.50481,1.17005,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,9507.14,0.68334,0.52706,1.13691,0.85443,0.83419,0.87665,0.6874,0.75583,0.5042,1.17021,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,11133.9,0.67733,0.5239,1.13472,0.85207,0.83858,0.87717,0.68775,0.75552,0.504,1.16998,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12734.9,0.67751,0.51907,1.13053,0.84036,0.84749,0.87975,0.6895,0.75505,0.50358,1.16976,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,13807.7,0.66898,0.51475,1.12838,0.84755,0.84147,0.87846,0.68809,0.755,0.50312,1.16982,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,14671.9,0.66987,0.51231,1.12576,0.83872,0.84992,0.87885,0.6897,0.75478,0.50198,1.16958,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,15533.9,0.66585,0.5088,1.12279,0.84385,0.84437,0.88108,0.6908,0.75385,0.50149,1.16862,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,16397.8,0.66174,0.50165,1.12091,0.83586,0.85296,0.88163,0.69107,0.75376,0.50091,1.16865,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,17259.4,0.64961,0.49567,1.11737,0.8414,0.84646,0.88203,0.69114,0.75334,0.50016,1.16833,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,18121.8,0.65299,0.49378,1.1164,0.83671,0.85517,0.88152,0.69208,0.75321,0.49951,1.16851,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,18985.5,0.64919,0.48897,1.11366,0.83765,0.85501,0.88032,0.69147,0.75291,0.49881,1.16839,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,19848.5,0.63725,0.48098,1.10788,0.83847,0.8552,0.88054,0.69067,0.75212,0.49814,1.16789,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,20691.9,0.6364,0.4772,1.10788,0.83876,0.85499,0.8796,0.68997,0.75213,0.49768,1.16792,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,21860.4,0.62837,0.47031,1.10404,0.8409,0.84838,0.8806,0.69085,0.75228,0.49702,1.16819,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,23122.8,0.62486,0.46736,1.10316,0.84347,0.84617,0.88062,0.69119,0.75203,0.4964,1.16801,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,24014.5,0.62083,0.46188,1.09881,0.84452,0.84781,0.87988,0.69295,0.75192,0.49567,1.16804,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,24898.5,0.62062,0.46471,1.09622,0.84558,0.84761,0.88021,0.69317,0.75135,0.49478,1.16725,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,25784.5,0.61632,0.45714,1.09406,0.84644,0.84813,0.88003,0.69359,0.75074,0.49418,1.16696,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,26807.2,0.61256,0.45159,1.093,0.84735,0.8473,0.87991,0.69401,0.75029,0.49334,1.16679,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,28274.5,0.60809,0.44745,1.09054,0.84831,0.84715,0.87762,0.69315,0.75,0.49302,1.16653,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,29218.7,0.53283,0.34693,1.06567,0.84909,0.84688,0.87744,0.69337,0.74951,0.49215,1.16632,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,30057.5,0.52053,0.33242,1.05449,0.84992,0.84646,0.87922,0.695,0.74924,0.49123,1.16609,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,30928.4,0.50733,0.32367,1.04674,0.85239,0.84434,0.87896,0.69504,0.74915,0.49095,1.16606,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,32433.3,0.50154,0.31879,1.04154,0.85384,0.84065,0.87809,0.69523,0.74884,0.49069,1.16578,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,33851.4,0.49783,0.31235,1.03923,0.85343,0.84096,0.87826,0.69531,0.74813,0.48984,1.16539,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,38945.8,0.48991,0.30951,1.03542,0.85167,0.84501,0.87462,0.69189,0.7477,0.48903,1.16531,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,39531.2,0.48439,0.30484,1.0288,0.85628,0.8379,0.87484,0.69171,0.74771,0.48889,1.16599,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,40097.3,0.47993,0.30019,1.02826,0.85659,0.83791,0.87508,0.69282,0.74753,0.48847,1.16598,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,40652.9,0.47213,0.29659,1.0215,0.84856,0.84603,0.8751,0.69298,0.74702,0.48752,1.16596,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,41215.5,0.47087,0.29416,1.02095,0.85639,0.82574,0.87134,0.69162,0.7471,0.48751,1.16637,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
